tree_id,bunch_id,bunch_class,n_sides_total,n_sides_bunch,max_dist_allowed,max_normal,max_possible,valid_home,appearance_sides,offending_sides,reason,link_chain,severity
DAMIMAS_A21B_0361,1,B1,4,3,1,2,3,sisi_1,"sisi_1,sisi_2,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-3,lnk-5",warn
DAMIMAS_A21B_0361,2,B3,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-6,lnk-7",warn
DAMIMAS_A21B_0361,4,B3,4,3,1,2,3,sisi_1,"sisi_1,sisi_2,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-0,lnk-2",warn
DAMIMAS_A21B_0362,3,B3,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-19,lnk-24",warn
DAMIMAS_A21B_0362,5,B3,4,3,1,2,3,sisi_4,"sisi_1,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-26,lnk-33",warn
DAMIMAS_A21B_0362,6,B3,4,3,1,2,3,sisi_3,"sisi_2,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-21,lnk-29",warn
DAMIMAS_A21B_0362,9,B3,4,3,1,2,3,sisi_3,"sisi_2,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-22,lnk-28",warn
DAMIMAS_A21B_0362,10,B3,4,3,1,2,3,sisi_3,"sisi_2,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-23,lnk-30",warn
DAMIMAS_A21B_0363,4,B2,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-1,lnk-2",warn
DAMIMAS_A21B_0364,6,B3,4,3,1,2,3,sisi_4,"sisi_1,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-10,lnk-11",warn
DAMIMAS_A21B_0364,8,B1,4,3,1,2,3,sisi_3,"sisi_2,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-3,lnk-4",warn
DAMIMAS_A21B_0364,11,B3,4,3,1,2,3,sisi_3,"sisi_2,sisi_3,sisi_4",,valid_but_n_sides_3_exceeds_normal_2,"lnk-6,lnk-7",warn
DAMIMAS_A21B_0366,3,B3,4,3,1,2,3,sisi_2,"sisi_1,sisi_2,sisi_3",,valid_but_n_sides_3_exceeds_normal_2,"lnk-1,lnk-2",warn
