tree_id,split,selected_method,unstable_gate,total_det,B1_ratio,B2_ratio,B3_ratio,B4_ratio,B4_yrange,d_ac_bvg_B3,d_ac_cag_B2,B1_pred,B2_pred,B3_pred,B4_pred,B1_gt,B2_gt,B3_gt,B4_gt
DAMIMAS_A21B_0645,train,adaptive_corrected,False,13,0.0,0.0,3.3333,3.0,0.0767,-1,0,0,0,5,2,0,0,5,2
DAMIMAS_A21B_0646,train,adaptive_corrected,True,19,0.0,2.3333,3.0,3.0,0.0187,0,0,0,4,5,2,0,4,5,2
DAMIMAS_A21B_0647,train,class_aware_vis,True,19,0.0,2.3333,3.0,0.0,0.0,0,0,0,4,8,0,0,4,7,0
DAMIMAS_A21B_0648,train,adaptive_corrected,False,19,0.0,0.0,3.25,3.0,0.0802,0,0,0,0,7,4,0,0,8,3
DAMIMAS_A21B_0649,train,adaptive_corrected,False,21,0.0,2.0,3.5,2.5,0.0792,0,0,0,1,8,3,0,1,9,3
DAMIMAS_A21B_0650,train,adaptive_corrected,False,20,4.0,3.0,2.25,2.0,0.1151,0,0,2,2,5,2,2,2,6,3
DAMIMAS_A21B_0651,train,adaptive_corrected,False,23,2.0,1.5,3.0,3.5,0.1646,0,0,2,2,5,4,2,2,5,4
DAMIMAS_A21B_0652,train,adaptive_corrected,False,19,4.0,1.6667,2.6667,2.0,0.0658,0,0,2,3,4,1,2,3,4,2
DAMIMAS_A21B_0653,train,adaptive_corrected,False,20,2.0,2.0,3.0,2.5,0.0481,0,0,2,1,5,3,2,1,6,3
DAMIMAS_A21B_0654,train,adaptive_corrected,False,27,3.0,3.0,2.0,2.0,0.1788,1,0,3,5,4,4,3,6,3,4
DAMIMAS_A21B_0655,train,adaptive_corrected,False,20,4.0,2.0,3.6667,3.0,0.0556,0,0,2,1,6,2,2,1,7,2
DAMIMAS_A21B_0656,train,adaptive_corrected,False,25,2.0,0.0,3.0,3.0,0.0859,1,0,2,0,9,4,2,0,9,5
DAMIMAS_A21B_0657,train,adaptive_corrected,False,27,2.0,2.0,3.25,2.6667,0.0715,1,0,1,2,8,5,1,2,7,5
DAMIMAS_A21B_0658,train,adaptive_corrected,False,11,2.0,3.0,2.0,2.0,0.0796,0,0,1,2,2,1,1,2,3,1
